source_file,mutation_number,mutant_operator_type,lineno,ast_depth,num_test_cover,num_executed,num_assert_tm,num_assert_tc,function_max_depth,function_avg_depth,class_max_depth,lineno_loc,loc_list,status
bitstring.py,1,AOD,216,8,24,57,97,1094,7,6.333333333333333,11,233,"['103:109', '53:56', '224:234', '191:202', '169:182', '1424:1428', '1485:1493', '1471:1478', '3139:3151', '3550:3560', '631:670', '1011:1022', '336:348', '372:389', '350:355', '251:264', '428:443', '445:456', '2098:2102', '2252:2257', '2067:2073', '1988:1998', '2119:2129', '1833:1848']",killed
bitstring.py,2,AOD,218,7,24,57,97,1094,7,6.333333333333333,11,233,"['103:109', '53:56', '224:234', '191:202', '169:182', '1424:1428', '1485:1493', '1471:1478', '3139:3151', '3550:3560', '631:670', '1011:1022', '336:348', '372:389', '350:355', '251:264', '428:443', '445:456', '2098:2102', '2252:2257', '2067:2073', '1988:1998', '2119:2129', '1833:1848']",killed
bitstring.py,3,AOD,464,8,0,0,0,0,0,0,0,0,[],survived
bitstring.py,4,AOD,467,9,1,256,0,0,0,0.0,0,0,[],killed
bitstring.py,5,AOD,533,10,6,127,51,610,8,7.333333333333333,11,64,"['3080:3091', '2483:2489', '2439:2459', '2461:2481', '2491:2496', '2498:2506']",killed
bitstring.py,6,AOD,533,11,6,127,51,610,8,7.333333333333333,11,64,"['3080:3091', '2483:2489', '2439:2459', '2461:2481', '2491:2496', '2498:2506']",killed
bitstring.py,7,AOD,658,5,269,845,1137,1583,10,6.814126394052044,11,2047,"['29:39', '95:101', '103:109', '135:147', '121:133', '285:288', '304:310', '48:51', '53:56', '58:60', '62:65', '67:69', '43:46', '76:79', '81:84', '86:91', '224:234', '204:215', '236:249', '169:182', '453:459', '129:137', '62:67', '239:247', '232:237', '227:230', '426:431', '161:166', '152:159', '168:171', '212:217', '346:352', '354:360', '362:369', '1397:1409', '1411:1422', '1195:1205', '1552:1559', '1522:1535', '1438:1441', '1443:1446', '1506:1520', '1424:1428', '1568:1573', '1561:1566', '1579:1581', '1145:1157', '1485:1493', '1231:1236', '1480:1483', '1430:1436', '1159:1161', '1495:1504', '1223:1229', '1455:1462', '1464:1469', '1164:1174', '3270:3283', '2973:2978', '2999:3002', '3285:3298', '2992:2997', '3004:3007', '3248:3261', '3195:3205', '3207:3213', '3215:3246', '3120:3129', '3075:3078', '3038:3073', '3080:3091', '3093:3110', '3345:3358', '3330:3343', '3112:3118', '3300:3313', '3131:3137', '3263:3268', '3159:3171', '3189:3193', '3173:3179', '3139:3151', '3181:3187', '3360:3373', '3315:3328', '891:895', '897:900', '1645:1658', '1660:1668', '1670:1678', '3780:3789', '3746:3754', '3791:3794', '3756:3762', '3623:3632', '3634:3641', '3389:3398', '3607:3615', '3617:3621', '3562:3584', '3595:3605', '3586:3593', '3469:3548', '3464:3467', '3415:3425', '3436:3444', '3427:3434', '3450:3454', '3643:3652', '3457:3462', '3550:3560', '3400:3403', '927:933', '3930:3933', '3921:3928', '3846:3850', '3889:3892', '3885:3887', '127:134', '142:149', '112:125', '15:23', '25:31', '33:39', '41:51', '631:670', '714:723', '3875:3881', '2952:2958', '2914:2919', '2926:2931', '2921:2924', '2942:2950', '2960:2963', '782:783', '1592:1616', '1081:1084', '460:467', '574:581', '583:584', '562:572', '492:505', '507:514', '516:520', '522:531', '539:560', '469:490', '533:537', '586:588', '590:594', '3728:3732', '3716:3723', '3798:3809', '3811:3815', '84:88', '304:311', '313:320', '322:334', '336:348', '372:389', '357:370', '391:395', '177:185', '187:191', '202:207', '209:214', '193:200', '2874:2880', '2850:2864', '218:226', '272:286', '251:264', '800:802', '428:443', '401:426', '445:456', '2338:2353', '2383:2392', '2367:2381', '2593:2601', '2693:2725', '2685:2691', '1884:1888', '2075:2085', '2098:2102', '2252:2257', '2607:2627', '2659:2668', '2670:2678', '2193:2206', '2208:2213', '1850:1866', '1868:1875', '1776:1779', '1814:1822', '1790:1799', '1781:1788', '2512:2558', '2052:2065', '2215:2223', '2119:2129', '2131:2141', '2143:2151', '2153:2157', '2159:2165', '2167:2172', '2174:2181', '2183:2187', '2189:2191', '1978:1986', '1927:1932', '2104:2110', '2428:2437', '2411:2426', '2394:2409', '2483:2489', '1951:1959', '1943:1949', '2603:2605', '2000:2013', '2269:2272', '2263:2267', '2259:2261', '2629:2636', '2235:2250', '1770:1774', '1833:1848', '1916:1925', '2839:2846', '2225:2233', '1890:1914', '2560:2572', '2574:2591', '2035:2044', '1965:1976', '1682:1687', '1689:1697', '1744:1753', '1755:1760', '1762:1766', '1719:1726', '1728:1737', '1739:1742', '1709:1717', '2638:2647', '2439:2459', '2461:2481', '2491:2496', '2508:2510', '2498:2506', '2284:2300', '2321:2336', '598:609', '611:621', '623:627', '3703:3706', '3686:3691', '3693:3696', '3698:3701', '3854:3857', '89:92', '20:26', '28:33', '80:89', '91:104', '37:44', '46:51', '108:115', '117:120']",killed
bitstring.py,8,AOD,1059,7,3,5,25,636,7,6.333333333333333,11,51,"['3360:3373', '234:243', '2693:2725']",killed
bitstring.py,9,AOD,1191,8,0,0,0,0,0,0,0,0,[],survived
bitstring.py,10,AOD,1325,7,25,54,83,837,8,6.4,11,163,"['2980:2984', '2986:2990', '3173:3179', '3181:3187', '3617:3621', '3819:3825', '3827:3833', '711:712', '631:670', '686:699', '701:705', '747:754', '732:745', '672:684', '707:709', '714:723', '725:730', '756:765', '2952:2958', '1634:1640', '1618:1622', '2874:2880', '1916:1925', '10:16']",killed
