source_file,mutation_number,mutant_operator_type,lineno,ast_depth,num_test_cover,num_executed,num_assert_tm,num_assert_tc,function_max_depth,function_avg_depth,class_max_depth,lineno_loc,loc_list,status
commandline.py,1,AOD,123,5,0,0,0,0,0,0,0,0,[],survived
commandline.py,2,AOD,129,6,0,0,0,0,0,0,0,0,[],survived
commandline.py,3,AOD,137,6,0,0,0,0,0,0,0,0,[],survived
commandline.py,4,AOR,123,6,0,0,0,0,0,0,0,0,[],survived
commandline.py,5,AOR,129,7,0,0,0,0,0,0,0,0,[],survived
commandline.py,6,AOR,137,7,0,0,0,0,0,0,0,0,[],survived
commandline.py,7,ASR,110,3,2,7,2,2,8,7.5,8,9,"['7:14', '16:20']",incompetent
commandline.py,8,COI,56,2,0,0,0,0,0,0,0,0,[],survived
commandline.py,9,COI,58,3,0,0,0,0,0,0,0,0,[],survived
commandline.py,10,COI,60,4,0,0,0,0,0,0,0,0,[],survived
commandline.py,11,COI,87,2,0,0,0,0,0,0,0,0,[],survived
commandline.py,12,COI,90,3,0,0,0,0,0,0,0,0,[],survived
commandline.py,13,COI,99,2,2,3,2,2,8,7.5,8,9,"['7:14', '16:20']",killed
commandline.py,14,COI,104,2,2,3,2,2,8,7.5,8,9,"['7:14', '16:20']",incompetent
commandline.py,15,COI,113,2,2,3,2,2,8,7.5,8,9,"['7:14', '16:20']",survived
commandline.py,16,COI,121,2,0,0,0,0,0,0,0,0,[],survived
commandline.py,17,COI,151,2,0,0,0,0,0,0,0,0,[],survived
commandline.py,18,COI,156,2,0,0,0,0,0,0,0,0,[],survived
commandline.py,19,COI,159,2,0,0,0,0,0,0,0,0,[],survived
commandline.py,20,COI,162,2,0,0,0,0,0,0,0,0,[],survived
commandline.py,21,CRP,14,3,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",survived
commandline.py,22,CRP,15,5,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",survived
commandline.py,23,CRP,15,5,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",survived
commandline.py,24,CRP,16,5,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",survived
commandline.py,25,CRP,16,5,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",survived
commandline.py,26,CRP,17,4,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",killed
commandline.py,27,CRP,17,4,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",killed
commandline.py,28,CRP,17,4,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",killed
commandline.py,29,CRP,17,4,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",killed
commandline.py,30,CRP,17,5,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",killed
commandline.py,31,CRP,17,5,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",killed
commandline.py,32,CRP,17,7,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",survived
commandline.py,33,CRP,17,7,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",survived
commandline.py,34,CRP,18,4,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",killed
commandline.py,35,CRP,18,4,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",killed
commandline.py,36,CRP,18,4,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",killed
commandline.py,37,CRP,18,4,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",killed
commandline.py,38,CRP,18,5,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",killed
commandline.py,39,CRP,18,5,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",killed
commandline.py,40,CRP,18,5,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",survived
commandline.py,41,CRP,18,5,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",survived
commandline.py,42,CRP,19,4,2,2,2,2,8,7.5,8,9,"['7:14', '16:20']",killed
