source_file,lineno,num_test_cover,num_executed,num_assert_tm,num_assert_tc,mutant_operator_type,mutation_number
src/calculator.py,3,1,1,1,18,AOD,1
src/calculator.py,3,1,1,1,18,AOR,2
src/calculator.py,7,1,1,1,18,AOR,3
src/calculator.py,7,1,1,1,18,AOR,4
src/calculator.py,7,1,1,1,18,AOR,5
src/calculator.py,7,1,1,1,18,AOR,6
src/calculator.py,7,1,1,1,18,AOR,7
src/calculator.py,7,1,1,1,18,AOR,8
src/calculator.py,7,1,1,1,18,CRP,18
src/calculator.py,11,1,1,1,18,ASR,9
src/calculator.py,18,1,1,1,18,BCR,10
src/calculator.py,23,1,1,1,18,COD,11
src/calculator.py,23,1,1,1,18,COI,13
src/calculator.py,17,4,1,1,18,COI,12
src/calculator.py,17,4,1,1,18,CRP,21
src/calculator.py,17,4,1,1,18,CRP,22
src/calculator.py,17,4,1,1,18,ROR,45
src/calculator.py,29,1,1,1,18,COI,14
src/calculator.py,90,1,1,1,18,COI,15
src/calculator.py,90,1,1,1,18,LCR,40
src/calculator.py,92,0,0,0,0,COI,16
src/calculator.py,92,0,0,0,0,LCR,41
src/calculator.py,106,1,1,1,18,COI,17
src/calculator.py,106,1,1,1,18,ROR,46
src/calculator.py,106,1,1,1,18,ROR,47
src/calculator.py,16,4,1,1,18,CRP,19
src/calculator.py,16,4,1,1,18,CRP,20
src/calculator.py,35,1,1,1,18,CRP,23
src/calculator.py,36,1,1,1,18,CRP,24
src/calculator.py,36,1,1,1,18,CRP,25
src/calculator.py,57,0,0,0,0,CRP,26
src/calculator.py,57,0,0,0,0,CRP,27
src/calculator.py,61,1,0,0,0,CRP,28
src/calculator.py,65,1,0,0,0,CRP,29
src/calculator.py,65,1,0,0,0,IHD,34
src/calculator.py,86,1,1,1,18,CRP,30
src/calculator.py,41,1,0,0,0,DDL,31
src/calculator.py,49,0,0,0,0,EHD,32
src/calculator.py,56,0,0,0,0,EXS,33
src/calculator.py,74,1,0,0,0,IOD,35
src/calculator.py,74,1,0,0,0,SCI,50
src/calculator.py,84,1,0,0,0,IOD,36
src/calculator.py,84,1,0,0,0,IOP,39
src/calculator.py,84,1,0,0,0,SCD,48
src/calculator.py,116,1,0,0,0,IOD,37
src/calculator.py,116,1,0,0,0,SCD,49
src/calculator.py,126,1,0,0,0,IOD,38
src/calculator.py,126,1,0,0,0,SCI,51
src/calculator.py,97,1,1,1,18,LOD,42
src/calculator.py,101,1,1,1,18,LOR,43
src/calculator.py,102,1,1,1,18,LOR,44
